website,wayback_url,wayback_ts,res,request_link,original_ts,timediff_wb_orig,wb_before_or_after
https://www.themoscowtimes.com,http://web.archive.org/web/20211208135139/https://www.themoscowtimes.com/,2021-12-08 13:51:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211208135139/https://www.themoscowtimes.com/', 'timestamp': '20211208135139'}}, 'timestamp': '202112081400'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112081400,2021-12-08 14:00:00,0 days 00:09:00,before
https://www.themoscowtimes.com,http://web.archive.org/web/20211208215123/http://www.themoscowtimes.com/,2021-12-08 21:51:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211208215123/http://www.themoscowtimes.com/', 'timestamp': '20211208215123'}}, 'timestamp': '202112082200'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112082200,2021-12-08 22:00:00,0 days 00:09:00,before
https://www.themoscowtimes.com,http://web.archive.org/web/20211209075125/http://www.themoscowtimes.com/,2021-12-09 07:51:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211209075125/http://www.themoscowtimes.com/', 'timestamp': '20211209075125'}}, 'timestamp': '202112090800'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112090800,2021-12-09 08:00:00,0 days 00:09:00,before
https://www.themoscowtimes.com,http://web.archive.org/web/20211209135134/https://www.themoscowtimes.com/,2021-12-09 13:51:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211209135134/https://www.themoscowtimes.com/', 'timestamp': '20211209135134'}}, 'timestamp': '202112091400'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112091400,2021-12-09 14:00:00,0 days 00:09:00,before
https://www.themoscowtimes.com,http://web.archive.org/web/20211209215116/https://www.themoscowtimes.com/,2021-12-09 21:51:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211209215116/https://www.themoscowtimes.com/', 'timestamp': '20211209215116'}}, 'timestamp': '202112092200'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112092200,2021-12-09 22:00:00,0 days 00:09:00,before
https://www.themoscowtimes.com,http://web.archive.org/web/20211213075120/http://www.themoscowtimes.com/,2021-12-13 07:51:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211213075120/http://www.themoscowtimes.com/', 'timestamp': '20211213075120'}}, 'timestamp': '202112130800'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112130800,2021-12-13 08:00:00,0 days 00:09:00,before
https://www.themoscowtimes.com,http://web.archive.org/web/20211213135120/https://www.themoscowtimes.com/,2021-12-13 13:51:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211213135120/https://www.themoscowtimes.com/', 'timestamp': '20211213135120'}}, 'timestamp': '202112131400'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112131400,2021-12-13 14:00:00,0 days 00:09:00,before
https://www.themoscowtimes.com,http://web.archive.org/web/20211213215221/http://www.themoscowtimes.com/,2021-12-13 21:52:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211213215221/http://www.themoscowtimes.com/', 'timestamp': '20211213215221'}}, 'timestamp': '202112132200'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112132200,2021-12-13 22:00:00,0 days 00:08:00,before
https://www.themoscowtimes.com,http://web.archive.org/web/20211214075125/https://www.themoscowtimes.com/,2021-12-14 07:51:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211214075125/https://www.themoscowtimes.com/', 'timestamp': '20211214075125'}}, 'timestamp': '202112140800'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112140800,2021-12-14 08:00:00,0 days 00:09:00,before
https://www.themoscowtimes.com,http://web.archive.org/web/20211214135137/http://www.themoscowtimes.com/,2021-12-14 13:51:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211214135137/http://www.themoscowtimes.com/', 'timestamp': '20211214135137'}}, 'timestamp': '202112141400'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112141400,2021-12-14 14:00:00,0 days 00:09:00,before
https://www.themoscowtimes.com,http://web.archive.org/web/20211214215136/http://www.themoscowtimes.com/,2021-12-14 21:51:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211214215136/http://www.themoscowtimes.com/', 'timestamp': '20211214215136'}}, 'timestamp': '202112142200'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112142200,2021-12-14 22:00:00,0 days 00:09:00,before
https://www.themoscowtimes.com,http://web.archive.org/web/20211215075109/https://www.themoscowtimes.com/,2021-12-15 07:51:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211215075109/https://www.themoscowtimes.com/', 'timestamp': '20211215075109'}}, 'timestamp': '202112150800'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112150800,2021-12-15 08:00:00,0 days 00:09:00,before
https://www.themoscowtimes.com,http://web.archive.org/web/20211215135119/https://www.themoscowtimes.com/,2021-12-15 13:51:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211215135119/https://www.themoscowtimes.com/', 'timestamp': '20211215135119'}}, 'timestamp': '202112151400'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112151400,2021-12-15 14:00:00,0 days 00:09:00,before
https://www.themoscowtimes.com,http://web.archive.org/web/20211215215127/https://www.themoscowtimes.com/,2021-12-15 21:51:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211215215127/https://www.themoscowtimes.com/', 'timestamp': '20211215215127'}}, 'timestamp': '202112152200'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112152200,2021-12-15 22:00:00,0 days 00:09:00,before
https://www.themoscowtimes.com,http://web.archive.org/web/20211216075353/https://www.themoscowtimes.com/,2021-12-16 07:53:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211216075353/https://www.themoscowtimes.com/', 'timestamp': '20211216075353'}}, 'timestamp': '202112160800'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112160800,2021-12-16 08:00:00,0 days 00:07:00,before
https://www.themoscowtimes.com,http://web.archive.org/web/20211216135209/http://www.themoscowtimes.com/,2021-12-16 13:52:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211216135209/http://www.themoscowtimes.com/', 'timestamp': '20211216135209'}}, 'timestamp': '202112161400'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112161400,2021-12-16 14:00:00,0 days 00:08:00,before
https://www.themoscowtimes.com,http://web.archive.org/web/20211216215204/https://www.themoscowtimes.com/,2021-12-16 21:52:00,"{'url': 'https://www.themoscowtimes.com', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211216215204/https://www.themoscowtimes.com/', 'timestamp': '20211216215204'}}, 'timestamp': '202112162200'}",https://archive.org/wayback/available?url=https://www.themoscowtimes.com&timestamp=202112162200,2021-12-16 22:00:00,0 days 00:08:00,before
