website,wayback_url,wayback_ts,res,request_link,original_ts,timediff_wb_orig,wb_before_or_after
https://tass.ru,http://web.archive.org/web/20211208140525/https://tass.ru/,2021-12-08 14:05:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211208140525/https://tass.ru/', 'timestamp': '20211208140525'}}, 'timestamp': '202112081400'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112081400,2021-12-08 14:00:00,0 days 00:05:00,after
https://tass.ru,http://web.archive.org/web/20211208220516/https://tass.ru/,2021-12-08 22:05:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211208220516/https://tass.ru/', 'timestamp': '20211208220516'}}, 'timestamp': '202112082200'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112082200,2021-12-08 22:00:00,0 days 00:05:00,after
https://tass.ru,http://web.archive.org/web/20211209080512/https://tass.ru/,2021-12-09 08:05:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211209080512/https://tass.ru/', 'timestamp': '20211209080512'}}, 'timestamp': '202112090800'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112090800,2021-12-09 08:00:00,0 days 00:05:00,after
https://tass.ru,http://web.archive.org/web/20211209140524/https://tass.ru/,2021-12-09 14:05:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211209140524/https://tass.ru/', 'timestamp': '20211209140524'}}, 'timestamp': '202112091400'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112091400,2021-12-09 14:00:00,0 days 00:05:00,after
https://tass.ru,http://web.archive.org/web/20211209220518/https://tass.ru/,2021-12-09 22:05:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211209220518/https://tass.ru/', 'timestamp': '20211209220518'}}, 'timestamp': '202112092200'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112092200,2021-12-09 22:00:00,0 days 00:05:00,after
https://tass.ru,http://web.archive.org/web/20211213080236/https://tass.ru/,2021-12-13 08:02:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211213080236/https://tass.ru/', 'timestamp': '20211213080236'}}, 'timestamp': '202112130800'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112130800,2021-12-13 08:00:00,0 days 00:02:00,after
https://tass.ru,http://web.archive.org/web/20211213140535/https://tass.ru/,2021-12-13 14:05:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211213140535/https://tass.ru/', 'timestamp': '20211213140535'}}, 'timestamp': '202112131400'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112131400,2021-12-13 14:00:00,0 days 00:05:00,after
https://tass.ru,http://web.archive.org/web/20211213220522/https://tass.ru/,2021-12-13 22:05:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211213220522/https://tass.ru/', 'timestamp': '20211213220522'}}, 'timestamp': '202112132200'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112132200,2021-12-13 22:00:00,0 days 00:05:00,after
https://tass.ru,http://web.archive.org/web/20211214080503/https://tass.ru/,2021-12-14 08:05:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211214080503/https://tass.ru/', 'timestamp': '20211214080503'}}, 'timestamp': '202112140800'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112140800,2021-12-14 08:00:00,0 days 00:05:00,after
https://tass.ru,http://web.archive.org/web/20211214140540/https://tass.ru/,2021-12-14 14:05:00,"{'url': 'https://tass.ru', 'archived_snapshots': {'closest': {'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211214140540/https://tass.ru/', 'timestamp': '20211214140540'}}, 'timestamp': '202112141400'}",https://archive.org/wayback/available?url=https://tass.ru&timestamp=202112141400,2021-12-14 14:00:00,0 days 00:05:00,after
